id_ruta,codigo_ruta,origen,destino,distancia_km,tiempo_estimado_minutos,tipo_ruta,nivel_trafico,peajes,costo_peaje,numero_entregas,tiempo_promedio_minutos,retraso_promedio_minutos,porcentaje_retraso,consumo_promedio,costo_promedio,estatus
1,R-001,Puebla,Toluca,178.15,379,Foránea,Bajo,False,0.0,0,0,0,0,0,0,Activa
2,R-002,Querétaro,Metepec,292.42,595,Urbana,Alto,False,0.0,0,0,0,0,0,0,Activa
3,R-003,Metepec,Tlalnepantla,58.82,137,Urbana,Medio,True,226.43,0,0,0,0,0,0,Activa
4,R-004,Naucalpan,Cuernavaca,100.2,154,Interestatal,Medio,False,0.0,0,0,0,0,0,0,Activa
5,R-005,Cuernavaca,Naucalpan,274.08,596,Urbana,Alto,False,0.0,0,0,0,0,0,0,Activa
6,R-006,Metepec,Cuernavaca,27.13,54,Foránea,Medio,False,0.0,0,0,0,0,0,0,Activa
7,R-007,CDMX,Querétaro,117.39,251,Foránea,Medio,False,0.0,0,0,0,0,0,0,Activa
8,R-008,Querétaro,Metepec,94.98,208,Foránea,Medio,False,0.0,0,0,0,0,0,0,Activa
9,R-009,Naucalpan,Tlalnepantla,186.3,453,Urbana,Medio,False,0.0,0,0,0,0,0,0,Activa
10,R-010,Metepec,Pachuca,79.13,145,Urbana,Bajo,False,0.0,0,0,0,0,0,0,Activa
11,R-011,Tlalnepantla,Lerma,68.79,166,Interestatal,Bajo,False,0.0,0,0,0,0,0,0,Activa
12,R-012,Metepec,Querétaro,397.26,698,Interestatal,Medio,False,0.0,0,0,0,0,0,0,Activa
13,R-013,Toluca,Naucalpan,303.79,703,Urbana,Medio,False,0.0,0,0,0,0,0,0,Activa
14,R-014,Pachuca,Cuernavaca,258.74,525,Interestatal,Medio,True,183.02,0,0,0,0,0,0,Activa
15,R-015,Puebla,CDMX,60.03,143,Interestatal,Bajo,False,0.0,0,0,0,0,0,0,Activa
16,R-016,Tlalnepantla,Metepec,407.18,868,Foránea,Medio,True,236.47,0,0,0,0,0,0,Activa
17,R-017,Cuernavaca,Pachuca,170.16,378,Urbana,Bajo,False,0.0,0,0,0,0,0,0,Activa
18,R-018,Lerma,Naucalpan,405.76,968,Foránea,Medio,False,0.0,0,0,0,0,0,0,Activa
19,R-019,Toluca,Lerma,355.35,761,Urbana,Medio,False,0.0,0,0,0,0,0,0,Activa
20,R-020,Lerma,Toluca,56.18,93,Foránea,Bajo,True,544.2,0,0,0,0,0,0,Activa
21,R-021,Querétaro,Puebla,280.76,423,Foránea,Medio,True,105.81,0,0,0,0,0,0,Activa
22,R-022,Naucalpan,Tlalnepantla,305.31,459,Urbana,Bajo,True,138.44,0,0,0,0,0,0,Activa
23,R-023,Lerma,Toluca,255.96,561,Foránea,Bajo,False,0.0,0,0,0,0,0,0,Activa
24,R-024,Querétaro,Puebla,300.34,517,Foránea,Alto,False,0.0,0,0,0,0,0,0,Activa
25,R-025,CDMX,Cuernavaca,326.24,566,Foránea,Bajo,False,0.0,0,0,0,0,0,0,Activa
26,R-026,Metepec,Naucalpan,159.92,359,Urbana,Alto,False,0.0,0,0,0,0,0,0,Activa
27,R-027,CDMX,Querétaro,299.34,703,Urbana,Bajo,True,411.69,0,0,0,0,0,0,Activa
28,R-028,Naucalpan,CDMX,264.37,421,Foránea,Medio,False,0.0,0,0,0,0,0,0,Activa
29,R-029,Tlalnepantla,Metepec,178.12,314,Interestatal,Bajo,False,0.0,0,0,0,0,0,0,Activa
30,R-030,Querétaro,Lerma,124.92,308,Interestatal,Medio,False,0.0,0,0,0,0,0,0,Activa
31,R-031,CDMX,Cuernavaca,189.03,452,Foránea,Medio,True,397.13,0,0,0,0,0,0,Activa
32,R-032,Toluca,Querétaro,361.77,724,Urbana,Bajo,False,0.0,0,0,0,0,0,0,Activa
33,R-033,Tlalnepantla,Querétaro,268.07,534,Foránea,Alto,False,0.0,0,0,0,0,0,0,Activa
34,R-034,Metepec,Querétaro,103.95,231,Urbana,Bajo,False,0.0,0,0,0,0,0,0,Activa
35,R-035,Pachuca,Puebla,140.73,214,Foránea,Medio,True,405.01,0,0,0,0,0,0,Activa
36,R-036,Metepec,CDMX,96.16,234,Interestatal,Alto,False,0.0,0,0,0,0,0,0,Activa
37,R-037,Metepec,Querétaro,430.19,1038,Urbana,Medio,False,0.0,0,0,0,0,0,0,Activa
38,R-038,Tlalnepantla,Lerma,179.17,271,Interestatal,Bajo,True,560.58,0,0,0,0,0,0,Activa
39,R-039,Cuernavaca,CDMX,204.12,503,Interestatal,Medio,False,0.0,0,0,0,0,0,0,Activa
40,R-040,Lerma,CDMX,434.36,1022,Foránea,Bajo,True,211.95,0,0,0,0,0,0,Activa
41,R-041,CDMX,Lerma,185.59,436,Urbana,Medio,True,224.31,0,0,0,0,0,0,Activa
42,R-042,Puebla,Pachuca,92.88,191,Interestatal,Alto,False,0.0,0,0,0,0,0,0,Activa
43,R-043,Tlalnepantla,Lerma,422.55,927,Foránea,Alto,True,363.53,0,0,0,0,0,0,Activa
44,R-044,Puebla,Naucalpan,61.79,130,Foránea,Medio,True,594.53,0,0,0,0,0,0,Activa
45,R-045,Cuernavaca,Metepec,80.24,161,Foránea,Medio,False,0.0,0,0,0,0,0,0,Activa
46,R-046,Toluca,Pachuca,397.27,890,Urbana,Medio,False,0.0,0,0,0,0,0,0,Activa
47,R-047,Metepec,Cuernavaca,319.72,704,Interestatal,Alto,False,0.0,0,0,0,0,0,0,Activa
48,R-048,Cuernavaca,Toluca,174.58,313,Foránea,Alto,True,495.15,0,0,0,0,0,0,Activa
49,R-049,Pachuca,Puebla,368.35,871,Foránea,Medio,True,552.28,0,0,0,0,0,0,Activa
50,R-050,Metepec,Tlalnepantla,239.88,480,Urbana,Bajo,True,489.06,0,0,0,0,0,0,Activa
