id_ruta,codigo_ruta,origen,destino,distancia_km,tiempo_estimado_minutos,tipo_ruta,nivel_trafico,peajes,costo_peaje,numero_entregas,tiempo_promedio_minutos,retraso_promedio_minutos,porcentaje_retraso,consumo_promedio,costo_promedio,estatus
1,R-001,Lerma,Toluca,178.15,379,Interestatal,Medio,True,398.44,102,8.68,8.68,28.43,24.37,2708.18,Activa
2,R-002,Tlalnepantla,Toluca,250.38,398,Urbana,Medio,False,0.0,89,7.31,7.31,26.97,34.33,3380.02,Activa
3,R-003,Lerma,Querétaro,379.18,690,Foránea,Bajo,True,152.59,103,11.66,11.66,27.18,50.42,4384.98,Activa
4,R-004,Puebla,Tlalnepantla,37.53,78,Interestatal,Bajo,False,0.0,84,6.6,6.6,20.24,5.19,1525.51,Activa
5,R-005,CDMX,Toluca,311.35,472,Interestatal,Medio,False,0.0,106,11.21,11.21,26.42,42.2,3942.11,Activa
6,R-006,Toluca,Pachuca,240.2,414,Foránea,Alto,False,0.0,76,17.07,17.07,36.84,33.22,3246.71,Activa
7,R-007,Metepec,Puebla,297.42,497,Urbana,Alto,True,430.02,103,25.41,25.41,46.6,40.93,3834.9,Activa
8,R-008,Tlalnepantla,Lerma,186.3,453,Foránea,Bajo,True,125.64,91,3.95,3.95,12.09,26.16,2710.14,Activa
9,R-009,Pachuca,Cuernavaca,166.66,268,Interestatal,Medio,False,0.0,113,5.64,5.64,18.58,22.86,2622.18,Activa
10,R-010,Cuernavaca,Naucalpan,417.62,992,Urbana,Alto,False,0.0,96,27.15,27.15,43.75,56.46,4822.48,Activa
11,R-011,Metepec,Cuernavaca,130.91,282,Foránea,Medio,False,0.0,100,5.8,5.8,18.0,18.49,2285.72,Activa
12,R-012,CDMX,Querétaro,371.41,763,Foránea,Medio,False,0.0,100,20.25,20.25,47.0,50.81,4294.62,Activa
13,R-013,Querétaro,Metepec,247.75,431,Foránea,Medio,False,0.0,91,7.43,7.43,24.18,34.17,3348.92,Activa
14,R-014,Naucalpan,Tlalnepantla,60.03,143,Urbana,Medio,False,0.0,97,10.28,10.28,29.9,7.58,1660.15,Activa
15,R-015,Metepec,Pachuca,407.18,868,Urbana,Bajo,False,0.0,97,12.15,12.15,31.96,56.84,4787.1,Activa
16,R-016,Tlalnepantla,Lerma,165.78,306,Interestatal,Bajo,False,0.0,107,8.66,8.66,22.43,21.91,2583.31,Activa
17,R-017,Metepec,Querétaro,332.16,796,Interestatal,Medio,False,0.0,94,13.64,13.64,30.85,44.44,4009.41,Activa
18,R-018,Toluca,Naucalpan,401.45,915,Urbana,Medio,False,0.0,86,15.37,15.37,32.56,55.74,4712.12,Activa
19,R-019,Pachuca,Cuernavaca,296.07,469,Interestatal,Medio,True,138.9,107,14.55,14.55,40.19,39.54,3658.09,Activa
20,R-020,Puebla,CDMX,406.38,856,Interestatal,Bajo,False,0.0,98,10.17,10.17,25.51,54.68,4664.82,Activa
21,R-021,Tlalnepantla,Metepec,23.95,38,Foránea,Medio,True,414.93,104,6.75,6.75,23.08,3.19,1378.0,Activa
22,R-022,Cuernavaca,Pachuca,22.18,36,Urbana,Bajo,False,0.0,95,4.35,4.35,13.68,2.89,1321.94,Activa
23,R-023,Lerma,Naucalpan,255.96,561,Foránea,Medio,False,0.0,108,7.43,7.43,24.07,34.9,3383.64,Activa
24,R-024,Toluca,Lerma,300.34,517,Urbana,Medio,False,0.0,99,13.32,13.32,35.35,41.02,3721.22,Activa
25,R-025,Lerma,Toluca,326.24,566,Foránea,Bajo,True,228.97,93,7.14,7.14,17.2,47.25,4050.03,Activa
26,R-026,Querétaro,Puebla,340.99,733,Foránea,Medio,True,517.07,111,21.41,21.41,47.75,50.19,4262.1,Activa
27,R-027,Naucalpan,Tlalnepantla,302.77,626,Urbana,Bajo,True,101.52,103,10.98,10.98,27.18,39.96,3790.92,Activa
28,R-028,Lerma,Toluca,178.12,314,Foránea,Bajo,False,0.0,102,5.75,5.75,17.65,24.58,2747.38,Activa
29,R-029,Querétaro,Puebla,124.92,308,Foránea,Alto,False,0.0,109,16.96,16.96,36.7,16.77,2239.63,Activa
30,R-030,CDMX,Cuernavaca,189.03,452,Foránea,Bajo,False,0.0,96,7.34,7.34,21.88,25.86,2819.0,Activa
31,R-031,Metepec,Naucalpan,291.39,668,Urbana,Alto,False,0.0,95,28.6,28.6,48.42,39.55,3729.02,Activa
32,R-032,CDMX,Querétaro,236.13,490,Urbana,Bajo,True,320.88,123,4.2,4.2,13.82,32.17,3275.6,Activa
33,R-033,Naucalpan,CDMX,103.95,231,Foránea,Medio,False,0.0,118,5.77,5.77,19.49,14.31,1987.44,Activa
34,R-034,Tlalnepantla,Metepec,140.73,214,Interestatal,Bajo,False,0.0,110,4.02,4.02,12.73,18.66,2428.93,Activa
35,R-035,Querétaro,Lerma,297.55,499,Interestatal,Medio,False,0.0,79,13.25,13.25,34.18,42.24,3878.0,Activa
36,R-036,CDMX,Cuernavaca,424.4,1041,Foránea,Medio,True,553.18,105,17.19,17.19,40.95,57.42,4819.66,Activa
37,R-037,Toluca,Querétaro,179.17,271,Urbana,Bajo,False,0.0,105,3.52,3.52,12.38,22.96,2624.84,Activa
38,R-038,Tlalnepantla,Querétaro,419.18,808,Foránea,Alto,False,0.0,106,31.52,31.52,51.89,59.02,4865.63,Activa
39,R-039,Metepec,Querétaro,435.66,1073,Urbana,Bajo,False,0.0,103,13.19,13.19,32.04,59.92,4948.82,Activa
40,R-040,Pachuca,Puebla,386.79,694,Foránea,Medio,True,261.8,89,16.06,16.06,37.08,50.54,4533.96,Activa
41,R-041,Metepec,CDMX,385.99,701,Interestatal,Alto,False,0.0,116,28.91,28.91,49.14,51.31,4393.77,Activa
42,R-042,Metepec,Querétaro,92.88,191,Urbana,Medio,False,0.0,91,7.64,7.64,29.67,12.99,2016.85,Activa
